Batuhan Kırdaroğlu, Göztepe
Francisco Montero, Beşiktaş
Dzenan Burekovic, Göztepe
Altay Bayındır, Fenerbahçe
Halil Akbunar, Göztepe
Necip Uysal, Beşiktaş
Oğuzhan Özyakup, Beşiktaş
Cherif Ndiaye, Göztepe
Brown Ideye, Göztepe
Domagoj Vida, Beşiktaş
Harun Tekin, Fenerbahçe
Stefano Nepoleoni, Göztepe
Adem Ljajic, Beşiktaş
Caner Erkin, Fenerbahçe
Güven Yalçın, Beşiktaş
Gökhan Gönül, Fenerbahçe
Efe Binici, Göztepe
Nazım Sangare, Fenerbahçe
Marcel Tisserand, Fenerbahçe
Mauricio Lemos, Fenerbahçe
Berkan Emir, Göztepe
Welinton Souza Silva, Beşiktaş
Sadık Çiftpınar, Fenerbahçe
Serdar Aziz, Fenerbahçe
Burak Süleyman, Göztepe
Diego Perotti, Fenerbahçe
Soner Aydoğdu, Göztepe
Dimitris Pelkas, Fenerbahçe
Valentin Rosier, Beşiktaş
Jose Ernesto Sosa, Fenerbahçe
Atınç Nukan, Göztepe
Mert Hakan Yandaş, Fenerbahçe
Ömer Faruk Beyaz, Fenerbahçe
Ozan Tufan, Fenerbahçe
Tolga Ciğerci, Fenerbahçe
Ferdi Kadıoğlu, Fenerbahçe
Utku Yuvakuran, Beşiktaş
Yalçın Kayan, Göztepe
Kartal Kayra Yılmaz, Beşiktaş
Nabil Dirar, Fenerbahçe
Enner Valencia, Fenerbahçe
Febrice Nsakala, Beşiktaş
Kemal Ademi, Fenerbahçe
Mame Baba Thiam, Fenerbahçe
Vincent Aboubakar, Beşiktaş
Bernand Oliver Mensah, Beşiktaş
Zlatko Tripic, Göztepe
Guilherme, Göztepe
Rachid Ghezzal, Beşiktaş
Mbwana Samatta, Fenerbahçe
Ersin Destanoğlu, Beşiktaş
Papiss Cisse, Fenerbahçe
Erdoğan Kaya, Beşiktaş
Sinan Gümüş, Fenerbahçe
Josef de Souza, Beşiktaş
Arda Özçimen, Göztepe
Titi, Göztepe
Rıdvan Yılmaz, Beşiktaş
Filip Novak, Fenerbahçe
Alpaslan Öztürk, Göztepe
Lamine Gassama, Göztepe
Atiba Hutchinson, Beşiktaş
Murat Paluli, Göztepe
Obinna Nwobodo, Göztepe
Gökhan Töre, Beşiktaş
Metin Yıldırım, Göztepe
Oytun Özdoğan, Fenerbahçe
Dorukhan Toköz, Beşiktaş
Georges-Kevin Nkoudou, Beşiktaş
Luiz Gustavo Dias, Fenerbahçe
Ajdin Hasic, Beşiktaş
Marcio Mossoro, Göztepe
Hüseyin Atakan Üner, Beşiktaş
İrfan Can Eğribayat, Göztepe
Marko Mihojevic, Göztepe
Balazs Megyeri, Göztepe
Cyle Christopher Larin, Beşiktaş
Emre Bilgin, Beşiktaş
Kubilay Sönmez, Göztepe
